iter	Passed	Remaining
0	1	171
1	3	168
2	5	170
3	6	156
4	8	160
5	10	158
6	11	155
7	13	151
8	15	151
9	16	146
10	17	141
11	19	139
12	20	136
13	22	135
14	23	133
15	25	131
16	26	130
17	27	127
18	29	124
19	30	122
20	32	120
21	33	117
22	34	114
23	35	112
24	37	111
25	38	108
26	39	107
27	41	105
28	42	105
29	44	102
30	45	100
31	46	98
32	47	95
33	48	93
34	49	91
35	50	90
36	52	89
37	54	88
38	55	86
39	57	85
40	58	83
41	58	80
42	59	79
43	60	77
44	61	75
45	62	73
46	63	71
47	63	69
48	64	67
49	65	65
50	66	64
51	67	62
52	68	61
53	69	59
54	70	57
55	72	56
56	73	55
57	74	53
58	75	52
59	76	50
60	77	49
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	82	40
67	83	39
68	84	37
69	85	36
70	87	35
71	88	34
72	89	32
73	90	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	111	1
99	112	0
